timestamp,input,output
2025-07-12T18:08:47.176320,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'No se visualiza la póliza, tiene cancellationDate mayor que el día actual', 'TIPO INCIDENCIA': 'Código Back', 'SOLUCIÓN': 'Se actualiza el código en el componente de Reembolsos para controlar que la fecha de Cancelación sea menor, actualmente está como mayor', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'api|actualizaCodigoReembolsos', 'BUZON REASIGNACION': nan}","La póliza de reembolso no se visualiza correctamente debido a que la fecha de cancelación es posterior a la fecha actual.
"
2025-07-12T18:08:55.341536,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'No carga documentación general de la póliza', 'TIPO INCIDENCIA': 'Dato', 'SOLUCIÓN': ""Suscripción al API 2.1.1 de cartera. El problema derivada de que estaban retornando cambiados el valor de 'idDistributor' e 'idAgente'"", 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'reasignacion', 'BUZON REASIGNACION': 'MOCK_BUZON'}","La carga de documentación general de la póliza falla debido a que la suscripción al API 2.1.1 de cartera estaba retornando valores incorrectos para 'idDistributor' e 'idAgente'.
"
2025-07-12T18:09:01.603011,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'No carga documentación particular de la póliza', 'TIPO INCIDENCIA': 'Dato', 'SOLUCIÓN': 'Derivar a MOCK_BUZON. Se deriva a este equipo para que suba los documentos del cliente en caso de no existir', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'reasignacion', 'BUZON REASIGNACION': 'MOCK_BUZON'}","La aplicación no carga la documentación específica de la póliza.
"
2025-07-12T18:09:08.024580,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'No aparecen todos los asegurados', 'TIPO INCIDENCIA': 'Dato', 'SOLUCIÓN': 'Suscripción al API 2.1.1 de cartera. La suscripción al API 2.0 permite recopilar la información de MDM y mostrar más datos al usuario', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'manual', 'BUZON REASIGNACION': nan}","Algunos asegurados no están apareciendo en el sistema de reembolsos.
"
2025-07-12T18:09:14.541574,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'Error al adjuntar documentacion', 'TIPO INCIDENCIA': 'API Tercero', 'SOLUCIÓN': 'Derivar al componente de Arquitectura MOCK_BUZON', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'reasignacion', 'BUZON REASIGNACION': 'MOCK_BUZON'}","Error al adjuntar documentación relacionado con la API de Terceros, específicamente al componente de Reembolsos."
2025-07-12T18:09:22.239159,"{'COMPONENTE': 'Autorizaciones', 'DESCRIPCION': 'EN POSICIÓN GLOBAL SE CARGAN LOS SEGUROS PERO EN EL COMPONENTE DE AUTORIZACIONES SOLAMENTE SE CARGA LA PÓLIZA DENTAL', 'TIPO INCIDENCIA': 'Código Back', 'SOLUCIÓN': 'Suscripción al API 2.1.1 de cartera. La suscripción al API 2.0 permite recopilar la información de MDM y mostrar más datos al usuario', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'manual', 'BUZON REASIGNACION': nan}","Se produce una inconsistencia en la carga de pólizas, donde a nivel global se cargan los seguros pero únicamente la póliza dental se carga dentro del componente de autorizaciones.
"
2025-07-12T18:09:29.069651,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'Error al finalizar el proceso Reembolsos', 'TIPO INCIDENCIA': 'API Tercero', 'SOLUCIÓN': 'Se encuentra relacion con error en KIBANA, pasar a equipo MOCK_BUZON', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'reasignacion', 'BUZON REASIGNACION': 'MOCK_BUZON'}","Error al completar el proceso de reembolsos asociado a una API de terceros, detectado a través de KIBANA."
2025-07-12T18:09:35.616359,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'PROBLEMA IBAN', 'TIPO INCIDENCIA': 'Dato Usuario', 'SOLUCIÓN': 'Se valida en un validador online y se solicita al usuario que vuelva a probar', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'api|comprobarIban', 'BUZON REASIGNACION': nan}","Existe un problema con los datos del IBAN proporcionados por el usuario en el proceso de reembolso.
"
2025-07-12T18:09:41.853534,"{'COMPONENTE': 'Reembolsos', 'DESCRIPCION': 'No permite reembolsos de farmacia', 'TIPO INCIDENCIA': 'No es incidencia', 'SOLUCIÓN': 'Se revisa con MOCK_NAME y la póliza del cliente no es Reembolsable, por lo que se cierra', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'cierre', 'BUZON REASIGNACION': nan}","El sistema no permite el proceso de reembolsos de farmacia.
"
2025-07-12T18:09:48.552022,"{'COMPONENTE': 'Autorizaciones', 'DESCRIPCION': 'Error inesperado al finalizar Autorizaciones', 'TIPO INCIDENCIA': 'Dato', 'SOLUCIÓN': 'Se cierra por strikes', 'FECHA DE RESOLUCIÓN': nan, 'RESOLUCION AUTOMÁTICA': 'cierre', 'BUZON REASIGNACION': nan}","Ocurrió un error inesperado durante la finalización del proceso de Autorizaciones, clasificado como un problema de datos."
